year,eweek,dengue,dengue symptoms,repellent
2010,1,24,5,6
2010,2,27,9,6
2010,3,28,8,0
2010,4,37,7,6
2010,5,44,10,8
2010,6,49,14,8
2010,7,100,19,10
2010,8,88,18,4
2010,9,85,24,4
2010,10,83,17,5
2010,11,76,17,6
2010,12,78,23,6
2010,13,84,19,7
2010,14,91,21,4
2010,15,68,18,4
2010,16,71,21,5
2010,17,68,19,0
2010,18,67,16,4
2010,19,51,12,4
2010,20,44,11,4
2010,21,38,8,0
2010,22,28,0,0
2010,23,26,5,0
2010,24,23,6,0
2010,25,15,4,0
2010,26,15,5,3
2010,27,12,3,0
2010,28,9,0,3
2010,29,10,4,0
2010,30,12,0,3
2010,31,18,5,0
2010,32,14,0,0
2010,33,17,3,0
2010,34,18,3,3
2010,35,16,0,5
2010,36,22,6,0
2010,37,18,4,4
2010,38,15,5,0
2010,39,13,4,0
2010,40,12,3,4
2010,41,21,0,0
2010,42,19,0,0
2010,43,24,4,0
2010,44,27,4,6
2010,45,19,4,0
2010,46,31,6,0
2010,47,22,6,0
2010,48,21,4,3
2010,49,17,5,4
2010,50,16,6,4
2010,51,18,6,6
2010,52,23,8,6
2011,1,25,9,7
2011,2,29,9,7
2011,3,31,11,8
2011,4,28,9,7
2011,5,40,10,8
2011,6,46,11,5
2011,7,55,15,6
2011,8,52,13,5
2011,9,49,15,3
2011,10,73,17,6
2011,11,91,25,6
2011,12,92,23,6
2011,13,100,26,4
2011,14,83,22,9
2011,15,63,20,7
2011,16,67,20,4
2011,17,54,17,3
2011,18,58,16,4
2011,19,48,12,3
2011,20,44,11,2
2011,21,37,9,2
2011,22,29,5,2
2011,23,29,6,2
2011,24,23,8,2
2011,25,26,9,2
2011,26,21,7,2
2011,27,21,9,2
2011,28,17,8,3
2011,29,16,6,2
2011,30,16,5,2
2011,31,19,6,2
2011,32,17,5,2
2011,33,18,5,3
2011,34,17,4,3
2011,35,19,4,3
2011,36,20,4,2
2011,37,21,5,3
2011,38,18,5,3
2011,39,21,6,4
2011,40,18,5,4
2011,41,24,6,2
2011,42,28,7,4
2011,43,25,5,2
2011,44,28,6,4
2011,45,24,6,4
2011,46,28,6,4
2011,47,21,5,4
2011,48,20,6,3
2011,49,20,7,4
2011,50,19,7,7
2011,51,17,6,5
2011,52,71,27,14
2012,1,72,30,12
2012,2,53,21,14
2012,3,55,18,12
2012,4,63,23,13
2012,5,63,19,21
2012,6,62,17,19
2012,7,66,22,18
2012,8,82,26,20
2012,9,82,26,11
2012,10,100,26,12
2012,11,84,25,9
2012,12,97,24,8
2012,13,70,18,8
2012,14,88,24,10
2012,15,86,22,10
2012,16,87,24,6
2012,17,65,18,5
2012,18,70,24,6
2012,19,75,18,5
2012,20,74,19,5
2012,21,71,21,6
2012,22,50,13,7
2012,23,59,15,6
2012,24,58,18,6
2012,25,46,16,6
2012,26,44,17,6
2012,27,36,11,6
2012,28,27,9,3
2012,29,35,13,6
2012,30,32,12,6
2012,31,38,9,6
2012,32,42,10,6
2012,33,46,10,9
2012,34,45,11,8
2012,35,38,11,8
2012,36,50,13,12
2012,37,45,11,20
2012,38,36,8,7
2012,39,39,8,9
2012,40,31,7,10
2012,41,36,9,9
2012,42,49,12,12
2012,43,47,11,15
2012,44,55,11,13
2012,45,47,10,14
2012,46,51,11,12
2012,47,44,11,11
2012,48,36,11,15
2012,49,30,9,20
2012,50,32,10,17
2012,51,37,14,30
2012,52,48,18,22
2013,1,17,6,7
2013,2,17,5,5
2013,3,23,7,5
2013,4,23,8,5
2013,5,25,8,5
2013,6,31,12,5
2013,7,44,14,6
2013,8,56,17,6
2013,9,56,16,5
2013,10,60,17,5
2013,11,66,17,3
2013,12,67,20,4
2013,13,85,27,6
2013,14,100,33,5
2013,15,90,32,4
2013,16,74,28,3
2013,17,58,23,3
2013,18,48,16,2
2013,19,49,17,2
2013,20,40,13,3
2013,21,27,10,2
2013,22,29,10,2
2013,23,28,10,2
2013,24,23,9,2
2013,25,17,8,2
2013,26,13,5,2
2013,27,12,5,2
2013,28,11,5,2
2013,29,9,3,2
2013,30,9,3,1
2013,31,11,4,2
2013,32,11,3,1
2013,33,12,3,1
2013,34,11,3,1
2013,35,10,3,3
2013,36,11,3,3
2013,37,11,3,2
2013,38,10,2,3
2013,39,11,2,2
2013,40,8,2,2
2013,41,11,3,2
2013,42,13,3,4
2013,43,12,3,3
2013,44,13,3,3
2013,45,15,4,6
2013,46,17,4,4
2013,47,14,3,4
2013,48,11,3,5
2013,49,10,3,5
2013,50,9,3,4
2013,51,10,4,7
2013,52,10,4,8
2014,1,8,3,7
2014,2,9,3,5
2014,3,11,3,4
2014,4,11,3,6
2014,5,12,4,6
2014,6,14,4,5
2014,7,17,5,3
2014,8,17,6,3
2014,9,17,6,3
2014,10,24,7,3
2014,11,33,10,4
2014,12,38,11,2
2014,13,47,15,4
2014,14,84,29,5
2014,15,78,29,5
2014,16,100,36,4
2014,17,99,33,7
2014,18,97,35,6
2014,19,75,27,3
2014,20,60,22,2
2014,21,45,13,2
2014,22,33,10,1
2014,23,28,10,2
2014,24,23,9,1
2014,25,21,7,2
2014,26,16,6,2
2014,27,12,5,1
2014,28,11,4,1
2014,29,12,4,1
2014,30,11,3,1
2014,31,12,4,1
2014,32,11,4,1
2014,33,9,3,2
2014,34,10,3,2
2014,35,11,3,2
2014,36,10,3,3
2014,37,10,3,2
2014,38,11,3,2
2014,39,10,3,2
2014,40,10,3,2
2014,41,11,3,6
2014,42,13,4,4
2014,43,13,3,5
2014,44,15,3,4
2014,45,14,3,4
2014,46,14,3,3
2014,47,12,3,4
2014,48,10,3,4
2014,49,10,3,5
2014,50,9,3,4
2014,51,9,3,6
2014,52,12,4,8
2015,1,6,2,3
2015,2,8,2,3
2015,3,9,3,3
2015,4,14,4,2
2015,5,19,5,3
2015,6,29,7,4
2015,7,31,9,4
2015,8,48,12,6
2015,9,67,16,9
2015,10,75,19,11
2015,11,86,21,11
2015,12,100,25,11
2015,13,85,22,10
2015,14,68,20,6
2015,15,92,25,8
2015,16,76,22,7
2015,17,68,19,4
2015,18,62,16,3
2015,19,45,13,2
2015,20,37,11,2
2015,21,30,10,1
2015,22,19,6,1
2015,23,18,5,1
2015,24,14,4,1
2015,25,9,3,1
2015,26,7,2,1
2015,27,5,1,1
2015,28,6,2,1
2015,29,5,1,1
2015,30,5,1,1
2015,31,5,1,1
2015,32,6,2,1
2015,33,5,1,1
2015,34,5,1,1
2015,35,5,1,1
2015,36,5,1,1
2015,37,5,1,1
2015,38,5,1,2
2015,39,5,1,2
2015,40,5,1,2
2015,41,5,1,2
2015,42,5,1,2
