year,eweek,total_cases,avg_temp_max,avg_temp_med,sum_precip_tot,avg_humid,dengue,dengue symptoms,repellent
2010,1,2683,33.94,30.55,2246.99,67.68,24,5,6
2010,2,3352,34.28,30.85,1993.52,66.47,27,9,6
2010,3,4463,34.57,31.12,1661.19,64.87,28,8,0
2010,4,5460,34.81,31.32,1318.85,63.16,37,7,6
2010,5,7695,34.95,31.45,1038.73,61.61,44,10,8
2010,6,9570,34.98,31.48,884.95,60.47,49,14,8
2010,7,11188,34.89,31.4,863.1,59.82,100,19,10
2010,8,16995,34.71,31.24,922.59,59.55,88,18,4
2010,9,17205,34.45,31.0,1000.33,59.5,85,24,4
2010,10,18040,34.14,30.73,1034.93,59.52,83,17,5
2010,11,18546,33.8,30.42,990.53,59.53,76,17,6
2010,12,20164,33.45,30.11,880.63,59.59,78,23,6
2010,13,17472,33.1,29.79,735.52,59.77,84,19,7
2010,14,18202,32.77,29.5,586.66,60.16,91,21,4
2010,15,17710,32.48,29.23,460.56,60.81,68,18,4
2010,16,14155,32.21,28.99,363.55,61.51,71,21,5
2010,17,15403,31.97,28.77,290.25,61.97,68,19,0
2010,18,15730,31.74,28.56,233.51,61.84,67,16,4
2010,19,11276,31.51,28.36,186.86,60.84,51,12,4
2010,20,8975,31.29,28.16,149.15,59.0,44,11,4
2010,21,6768,31.08,27.97,124.26,56.72,38,8,0
2010,22,3689,30.89,27.8,117.76,54.51,28,0,0
2010,23,3493,30.74,27.66,135.34,52.82,26,5,0
2010,24,2352,30.64,27.58,175.88,51.92,23,6,0
2010,25,1995,30.64,27.58,224.21,51.51,15,4,0
2010,26,1520,30.79,27.71,260.0,51.1,15,5,3
2010,27,1239,31.14,28.03,263.26,50.19,12,3,0
2010,28,1207,31.72,28.55,225.79,48.38,9,0,3
2010,29,1229,32.48,29.23,163.35,45.73,10,4,0
2010,30,1175,33.33,29.99,103.18,42.6,12,0,3
2010,31,949,34.13,30.72,64.29,39.38,18,5,0
2010,32,946,34.81,31.33,87.31,36.48,14,0,0
2010,33,775,35.29,31.76,207.35,34.23,17,3,0
2010,34,989,35.58,32.02,381.73,32.85,18,3,3
2010,35,1162,35.72,32.15,563.15,32.55,16,0,5
2010,36,945,35.73,32.16,710.13,33.54,22,6,0
2010,37,1274,35.64,32.07,793.88,35.83,18,4,4
2010,38,1264,35.47,31.93,818.3,38.99,15,5,0
2010,39,907,35.27,31.74,800.84,42.41,13,4,0
2010,40,894,35.05,31.55,760.37,45.45,12,3,4
2010,41,788,34.85,31.37,715.15,47.57,21,0,0
2010,42,1029,34.69,31.22,680.22,48.83,19,0,0
2010,43,1199,34.58,31.12,668.2,49.65,24,4,0
2010,44,1000,34.52,31.07,691.29,50.58,27,4,6
2010,45,1251,34.52,31.07,761.04,52.1,19,4,0
2010,46,1134,34.58,31.12,882.13,54.39,31,6,0
2010,47,1467,34.65,31.19,1049.69,57.16,22,6,0
2010,48,1669,34.7,31.23,1256.02,59.99,21,4,3
2010,49,1672,34.68,31.21,1492.86,62.47,17,5,4
2010,50,1787,34.58,31.12,1745.74,64.29,16,6,4
2010,51,1346,34.4,30.96,1981.27,65.4,18,6,6
2010,52,1359,34.23,30.81,1528.5,65.86,23,8,6
2011,1,2106,34.02,30.62,2231.71,65.88,25,9,7
2011,2,2532,33.9,30.51,2170.1,65.49,29,9,7
2011,3,3157,33.83,30.45,1992.71,64.95,31,11,8
2011,4,3713,33.8,30.42,1764.38,64.58,28,9,7
2011,5,3996,33.76,30.38,1559.02,64.7,40,10,8
2011,6,4977,33.68,30.32,1446.72,65.61,46,11,5
2011,7,5669,33.54,30.19,1453.86,67.35,55,15,6
2011,8,7088,33.36,30.03,1534.77,69.46,52,13,5
2011,9,7191,33.17,29.85,1621.58,71.34,49,15,3
2011,10,6488,32.98,29.68,1646.0,72.4,73,17,6
2011,11,9526,32.81,29.53,1557.17,72.22,91,25,6
2011,12,11283,32.65,29.39,1364.65,70.96,92,23,6
2011,13,12658,32.46,29.21,1108.76,69.1,100,26,4
2011,14,14177,32.2,28.98,833.89,67.14,83,22,9
2011,15,15450,31.84,28.66,582.43,65.56,63,20,7
2011,16,11697,31.39,28.26,383.34,64.48,67,20,4
2011,17,15569,30.89,27.8,236.45,63.77,54,17,3
2011,18,14234,30.37,27.34,140.9,63.2,58,16,4
2011,19,12745,29.9,26.91,109.32,62.56,48,12,3
2011,20,9869,29.5,26.56,136.78,61.71,44,11,2
2011,21,8355,29.21,26.29,196.95,60.65,37,9,2
2011,22,5574,29.04,26.14,259.48,59.46,29,5,2
2011,23,3538,29.01,26.11,294.46,58.2,29,6,2
2011,24,2676,29.14,26.23,279.75,56.89,23,8,2
2011,25,1752,29.45,26.5,224.89,55.49,26,9,2
2011,26,1527,29.94,26.94,157.29,53.88,21,7,2
2011,27,1206,30.62,27.56,107.12,51.93,21,9,2
2011,28,1289,31.49,28.34,101.39,49.56,17,8,3
2011,29,1168,32.51,29.26,140.19,46.81,16,6,2
2011,30,1174,33.57,30.21,197.01,43.96,16,5,2
2011,31,985,34.57,31.11,238.46,41.29,19,6,2
2011,32,1117,35.39,31.85,232.23,39.09,17,5,2
2011,33,1115,35.96,32.37,168.54,37.54,18,5,3
2011,34,986,36.31,32.68,90.11,36.59,17,4,3
2011,35,1164,36.5,32.85,51.6,36.08,19,4,3
2011,36,1082,36.57,32.91,79.67,35.86,20,4,2
2011,37,1499,36.58,32.92,246.51,35.82,21,5,3
2011,38,1623,36.51,32.86,524.06,36.07,18,5,3
2011,39,1857,36.36,32.72,837.66,36.83,21,6,4
2011,40,2048,36.07,32.47,1110.13,38.35,18,5,4
2011,41,1691,35.63,32.07,1269.88,40.85,24,6,2
2011,42,1804,35.07,31.56,1293.32,44.2,28,7,4
2011,43,1876,34.48,31.03,1215.48,47.86,25,5,2
2011,44,1393,33.99,30.59,1086.49,51.21,28,6,4
2011,45,1598,33.71,30.34,956.64,53.62,24,6,4
2011,46,1159,33.7,30.33,868.35,54.72,28,6,4
2011,47,1581,33.86,30.48,844.55,54.82,21,5,4
2011,48,1545,34.04,30.64,900.12,54.5,20,6,3
2011,49,1605,34.08,30.67,1048.69,54.36,20,7,4
2011,50,1916,33.83,30.45,1294.94,54.9,19,7,7
2011,51,1614,33.37,30.03,1596.24,56.05,17,6,5
2011,52,1420,33.21,29.9,2223.52,59.46,71,27,14
2012,1,2125,32.78,29.5,2290.19,59.15,72,30,12
2012,2,1933,32.72,29.45,2045.54,58.49,53,21,14
2012,3,1979,33.29,29.96,1842.05,57.66,55,18,12
2012,4,1959,34.1,30.69,1508.79,56.27,63,23,13
2012,5,2285,34.91,31.42,1137.3,54.85,63,19,21
2012,6,2441,35.46,31.91,818.84,53.95,62,17,19
2012,7,2454,35.58,32.02,621.16,53.93,66,22,18
2012,8,2248,35.33,31.8,543.0,54.71,82,26,20
2012,9,3241,34.88,31.4,552.16,55.99,82,26,11
2012,10,3429,34.42,30.98,612.78,57.45,100,26,12
2012,11,3555,34.1,30.69,690.72,58.8,84,25,9
2012,12,3591,33.92,30.53,762.33,59.91,97,24,8
2012,13,3628,33.76,30.38,812.33,60.8,70,18,8
2012,14,3044,33.47,30.13,827.36,61.49,88,24,10
2012,15,3758,32.92,29.63,795.46,62.04,86,22,10
2012,16,4137,32.07,28.86,722.69,62.5,87,24,6
2012,17,4488,31.05,27.95,643.78,62.97,65,18,5
2012,18,2878,30.07,27.06,602.2,63.54,70,24,6
2012,19,3351,29.31,26.38,640.87,64.31,75,18,5
2012,20,2490,28.91,26.01,783.78,65.31,74,19,5
2012,21,2578,28.86,25.97,990.88,66.27,71,21,6
2012,22,2650,29.06,26.15,1190.14,66.84,50,13,7
2012,23,1738,29.41,26.47,1305.6,66.61,59,15,6
2012,24,2206,29.82,26.84,1270.63,65.25,58,18,6
2012,25,1941,30.19,27.17,1082.96,62.82,46,16,6
2012,26,1808,30.48,27.43,799.76,59.75,44,17,6
2012,27,1583,30.61,27.55,491.29,56.53,36,11,6
2012,28,1083,30.54,27.48,232.62,53.66,27,9,3
2012,29,872,30.28,27.25,107.64,51.4,35,13,6
2012,30,978,30.0,27.0,57.1,49.63,32,12,6
