date,total_cases,date_parsed,day,month,year
1/7/2000,15,2000-01-07,7,1,2000
1/8/2000,1,2000-01-08,8,1,2000
1/9/2000,3,2000-01-09,9,1,2000
1/10/2000,30,2000-01-10,10,1,2000
1/11/2000,24,2000-01-11,11,1,2000
1/12/2000,19,2000-01-12,12,1,2000
1/13/2000,32,2000-01-13,13,1,2000
1/14/2000,29,2000-01-14,14,1,2000
1/15/2000,2,2000-01-15,15,1,2000
1/16/2000,4,2000-01-16,16,1,2000
1/17/2000,50,2000-01-17,17,1,2000
1/18/2000,36,2000-01-18,18,1,2000
1/19/2000,35,2000-01-19,19,1,2000
1/20/2000,28,2000-01-20,20,1,2000
1/21/2000,56,2000-01-21,21,1,2000
1/23/2000,2,2000-01-23,23,1,2000
1/24/2000,59,2000-01-24,24,1,2000
1/25/2000,31,2000-01-25,25,1,2000
1/26/2000,37,2000-01-26,26,1,2000
1/27/2000,57,2000-01-27,27,1,2000
1/28/2000,41,2000-01-28,28,1,2000
1/29/2000,3,2000-01-29,29,1,2000
1/30/2000,1,2000-01-30,30,1,2000
1/31/2000,38,2000-01-31,31,1,2000
2/1/2000,43,2000-02-01,1,2,2000
2/2/2000,40,2000-02-02,2,2,2000
2/3/2000,27,2000-02-03,3,2,2000
2/4/2000,55,2000-02-04,4,2,2000
2/5/2000,3,2000-02-05,5,2,2000
2/6/2000,2,2000-02-06,6,2,2000
2/7/2000,56,2000-02-07,7,2,2000
2/8/2000,41,2000-02-08,8,2,2000
2/9/2000,50,2000-02-09,9,2,2000
2/10/2000,36,2000-02-10,10,2,2000
2/11/2000,34,2000-02-11,11,2,2000
2/12/2000,2,2000-02-12,12,2,2000
2/13/2000,1,2000-02-13,13,2,2000
2/14/2000,64,2000-02-14,14,2,2000
2/15/2000,57,2000-02-15,15,2,2000
2/16/2000,51,2000-02-16,16,2,2000
2/17/2000,32,2000-02-17,17,2,2000
2/18/2000,29,2000-02-18,18,2,2000
2/19/2000,8,2000-02-19,19,2,2000
2/20/2000,1,2000-02-20,20,2,2000
2/21/2000,43,2000-02-21,21,2,2000
