Time,Sot xuat huyet Dengue,trieu chung sot xuat huyet,muoi van,phong chong sot xuat huyet,ban do dich benh, dien bien sot xuat huyet
6/1/2021,60,7,7,1,5,0
7/1/2021,32,10,7,0,7,0
8/1/2021,43,12,9,0,8,0
9/1/2021,48,11,9,1,14,0
10/1/2021,20,19,12,2,8,0
11/1/2021,19,14,11,1,9,0
12/1/2021,16,9,13,3,7,0
1/1/2022,22,7,14,2,7,0
2/1/2022,14,7,11,1,3,0
3/1/2022,14,6,12,1,2,0
4/1/2022,18,9,12,3,1,0
5/1/2022,32,21,13,5,1,0
6/1/2022,37,57,15,6,0,0
7/1/2022,50,100,21,7,0,1
8/1/2022,42,86,18,4,0,1
9/1/2022,47,82,17,6,1,0
10/1/2022,74,97,23,6,1,1
11/1/2022,66,99,19,6,1,1
12/1/2022,40,47,19,5,1,1
1/1/2023,15,20,23,1,0,1
2/1/2023,17,17,29,2,0,0
3/1/2023,17,13,22,3,1,0
4/1/2023,21,14,25,4,1,0
5/1/2023,20,10,22,3,1,0
6/1/2023,19,12,18,3,0,0
7/1/2023,23,15,23,3,0,0
8/1/2023,34,24,18,4,0,0
9/1/2023,51,41,16,5,0,1
10/1/2023,65,62,19,7,1,1
11/1/2023,53,63,20,4,0,0
12/1/2023,33,31,13,5,1,0
1/1/2024,22,13,6,3,1,0
2/1/2024,18,8,5,1,0,0
3/1/2024,20,8,7,3,1,0
4/1/2024,23,10,8,4,1,0
5/1/2024,23,9,7,5,1,0
6/1/2024,22,11,7,4,0,0
7/1/2024,25,18,8,3,0,1
8/1/2024,29,17,6,3,0,0
9/1/2024,54,14,7,3,0,0
10/1/2024,49,21,6,5,1,0
11/1/2024,56,22,8,3,0,0
12/1/2024,42,16,7,5,2,0
1/1/2025,34,11,6,1,0,0
2/1/2025,35,9,5,3,0,0
3/1/2025,33,8,6,3,1,0
4/1/2025,31,8,6,3,0,0
5/1/2025,38,7,7,3,0,0
6/1/2025,40,6,7,2,0,0
7/1/2025,36,9,8,3,0,0
8/1/2025,39,14,10,6,0,0
9/1/2025,35,14,7,5,0,0
10/1/2025,47,23,8,6,1,0
11/1/2025,57,16,13,6,1,0
12/1/2025,39,11,8,3,0,1
1/1/2026,34,7,7,2,0,0
2/1/2026,29,5,7,1,0,0
3/1/2026,38,6,8,2,1,0
4/1/2026,38,6,7,4,1,0
5/1/2026,38,5,9,3,1,0
6/1/2026,27,6,6,3,0,0
